title,year,genre,director,country,url_wiki,imdb_url,imdb_rating,parse_time
«Чудотворец» из Бирюлёва,1958,игровое кино,Борис Эпштейн,СССР,https://ru.wikipedia.org/wiki/%C2%AB%D0%A7%D1%83%D0%B4%D0%BE%D1%82%D0%B2%D0%BE%D1%80%D0%B5%D1%86%C2%BB_%D0%B8%D0%B7_%D0%91%D0%B8%D1%80%D1%8E%D0%BB%D1%91%D0%B2%D0%B0,,Не найден,3.73
«Спартак». Действующие лица и… болельщики,1985,"документальный,, спорт","Илья Гутман,, Иосиф Пастернак",СССР,https://ru.wikipedia.org/wiki/%C2%AB%D0%A1%D0%BF%D0%B0%D1%80%D1%82%D0%B0%D0%BA%C2%BB._%D0%94%D0%B5%D0%B9%D1%81%D1%82%D0%B2%D1%83%D1%8E%D1%89%D0%B8%D0%B5_%D0%BB%D0%B8%D1%86%D0%B0_%D0%B8%E2%80%A6_%D0%B1%D0%BE%D0%BB%D0%B5%D0%BB%D1%8C%D1%89%D0%B8%D0%BA%D0%B8,,Не найден,4.81
(Не)бывшие,2023,"драма, и, мелодрама",Стефан Бризе,Франция,https://ru.wikipedia.org/wiki/(%D0%9D%D0%B5)%D0%B1%D1%8B%D0%B2%D1%88%D0%B8%D0%B5,https://www.imdb.com/title/tt27704325/,6.4,5.04
«SOS» над тайгой,1976,"драма,, приключения","Аркадий Кольцатый,, Валентин Перов",СССР,https://ru.wikipedia.org/wiki/%C2%ABSOS%C2%BB_%D0%BD%D0%B0%D0%B4_%D1%82%D0%B0%D0%B9%D0%B3%D0%BE%D0%B9,https://www.imdb.com/title/tt0191415/,5.3,5.91
"«Москвич», любовь моя",2015,драма,Арам Шахбазян,"Армения, Франция, Россия","https://ru.wikipedia.org/wiki/%C2%AB%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B8%D1%87%C2%BB,_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%D0%BC%D0%BE%D1%8F",https://www.imdb.com/title/tt3835106/,7.9,8.47
…которого любили все,1982,"документально, -, биографический фильм",Леонид Осыка,СССР,https://ru.wikipedia.org/wiki/%E2%80%A6%D0%BA%D0%BE%D1%82%D0%BE%D1%80%D0%BE%D0%B3%D0%BE_%D0%BB%D1%8E%D0%B1%D0%B8%D0%BB%D0%B8_%D0%B2%D1%81%D0%B5,https://www.imdb.com/title/tt21977052/,7.2,9.6
…И прекрасный миг победы,1984,спортивный фильм,Вячеслав Винник,СССР,https://ru.wikipedia.org/wiki/%E2%80%A6%D0%98_%D0%BF%D1%80%D0%B5%D0%BA%D1%80%D0%B0%D1%81%D0%BD%D1%8B%D0%B9_%D0%BC%D0%B8%D0%B3_%D0%BF%D0%BE%D0%B1%D0%B5%D0%B4%D1%8B,https://www.imdb.com/title/tt0262477/,3.8,11.22
…а пятый всадник — Страх,1965,"драма, военный, арт-хаус",Збынек Брыных,Чехословакия,https://ru.wikipedia.org/wiki/%E2%80%A6%D0%B0_%D0%BF%D1%8F%D1%82%D1%8B%D0%B9_%D0%B2%D1%81%D0%B0%D0%B4%D0%BD%D0%B8%D0%BA_%E2%80%94_%D0%A1%D1%82%D1%80%D0%B0%D1%85,https://www.imdb.com/title/tt0123368/,7.2,12.27
…и передайте привет ласточкам,1972,"драма, военный",Яромил Йиреш,Чехословакия,https://ru.wikipedia.org/wiki/%E2%80%A6%D0%B8_%D0%BF%D0%B5%D1%80%D0%B5%D0%B4%D0%B0%D0%B9%D1%82%D0%B5_%D0%BF%D1%80%D0%B8%D0%B2%D0%B5%D1%82_%D0%BB%D0%B0%D1%81%D1%82%D0%BE%D1%87%D0%BA%D0%B0%D0%BC,https://www.imdb.com/title/tt0122844/,6.8,13.93
? (фильм),2011,"драма, 1, ]",".mw-parser-output .ts-Wikidata-redLink a{background:none;padding:0}.mw-parser-output .ts-Wikidata-redLink a.mw-parser-output .ts-Wikidata-redLink a.external:visited{color:#a55858;color:var(--color-link-red--visited,#a55858)}, Ханун Брамантйо, 1, ]",Индонезия,https://ru.wikipedia.org/wiki/%3F_(%D1%84%D0%B8%D0%BB%D1%8C%D0%BC),https://www.imdb.com/title/tt1979169/,6.9,15.19
